frequency;V(/Different_topology/VOUT) (phase);V(/Different_topology/VOUT) (gain);
1.47911e+06;0.291402;140.002;
1.51356e+06;0.312249;140.002;
1.54882e+06;0.334588;140.002;
1.58489e+06;0.358525;140.002;
1.62181e+06;0.384174;140.002;
1.65959e+06;0.411658;140.003;
1.69824e+06;0.441108;140.003;
1.7378e+06;0.472664;140.003;
1.77828e+06;0.506478;140.003;
1.8197e+06;0.542712;140.003;
1.86209e+06;0.581537;140.003;
1.90546e+06;0.62314;140.003;
1.94984e+06;0.667719;140.003;
1.99526e+06;0.715487;140.003;
2.04174e+06;0.766672;140.003;
2.0893e+06;0.821519;140.003;
2.13796e+06;0.880289;140.004;
2.18776e+06;0.943264;140.004;
2.23872e+06;1.01074;140.004;
2.29087e+06;1.08305;140.004;
2.34423e+06;1.16053;140.004;
2.39883e+06;1.24355;140.004;
2.45471e+06;1.33251;140.004;
2.51189e+06;1.42783;140.004;
2.5704e+06;1.52997;140.004;
2.63027e+06;1.63942;140.004;
2.69153e+06;1.75668;140.004;
2.75423e+06;1.88234;140.004;
2.81838e+06;2.01697;140.004;
2.88403e+06;2.16123;140.004;
2.95121e+06;2.3158;140.003;
3.01995e+06;2.48141;140.003;
3.0903e+06;2.65884;140.002;
3.16228e+06;2.84895;140.002;
3.23594e+06;3.05262;140.001;
3.31131e+06;3.27081;140;
3.38844e+06;3.50456;139.999;
3.46737e+06;3.75496;139.998;
3.54813e+06;4.02319;139.996;
3.63078e+06;4.31048;139.995;
3.71535e+06;4.61819;139.992;
3.80189e+06;4.94772;139.99;
3.89045e+06;5.30059;139.987;
3.98107e+06;5.67841;139.983;
4.0738e+06;6.0829;139.979;
4.16869e+06;6.51585;139.974;
4.2658e+06;6.9792;139.968;
4.36516e+06;7.47497;139.961;
4.46684e+06;8.0053;139.953;
4.57088e+06;8.57243;139.943;
4.67735e+06;9.17874;139.933;
4.7863e+06;9.82667;139.92;
4.89779e+06;10.5188;139.905;
5.01187e+06;11.2577;139.888;
5.12861e+06;12.0462;139.868;
5.24807e+06;12.887;139.845;
5.37032e+06;13.7829;139.818;
5.49541e+06;14.7368;139.788;
5.62341e+06;15.7512;139.753;
5.7544e+06;16.8291;139.712;
5.88844e+06;17.9727;139.666;
6.0256e+06;19.1844;139.613;
6.16595e+06;20.4663;139.553;
6.30957e+06;21.8199;139.484;
6.45654e+06;23.2464;139.406;
6.60693e+06;24.7463;139.317;
6.76083e+06;26.3194;139.217;
6.91831e+06;27.9649;139.104;
7.07946e+06;29.6809;138.978;
7.24436e+06;31.4645;138.836;
7.4131e+06;33.3119;138.678;
7.58578e+06;35.2181;138.503;
7.76247e+06;37.177;138.309;
7.94328e+06;39.1814;138.097;
8.12831e+06;41.2234;137.864;
8.31764e+06;43.294;137.61;
8.51138e+06;45.3835;137.335;
8.70964e+06;47.4821;137.038;
8.91251e+06;49.5796;136.72;
9.12011e+06;51.6659;136.38;
9.33254e+06;53.7311;136.02;
9.54993e+06;55.7661;135.639;
9.77237e+06;57.7623;135.238;
1e+07;59.7122;134.818;
1.02329e+07;61.6092;134.381;
1.04713e+07;63.4479;133.927;
1.07152e+07;65.2237;133.458;
1.09648e+07;66.9334;132.974;
1.12202e+07;68.5748;132.477;
1.14815e+07;70.1464;131.968;
1.1749e+07;71.6477;131.448;
1.20226e+07;73.0791;130.918;
1.23027e+07;74.4413;130.38;
1.25893e+07;75.7359;129.834;
1.28825e+07;76.9645;129.281;
1.31826e+07;78.1294;128.721;
1.34896e+07;79.2331;128.157;
1.38038e+07;80.278;127.587;
1.41254e+07;81.267;127.013;
1.44544e+07;82.2028;126.436;
1.47911e+07;83.0882;125.856;
